timestamp,dist_cm,level_cm,temp,hum
2026-07-01 22:21:43,27.5,22.5,25.9,76.6
2026-07-01 22:22:42,27.5,22.5,25.9,76.4
2026-07-01 22:57:05,28.2,21.8,26.4,74.9
2026-07-01 23:27:08,28.2,21.8,26.5,74.5
2026-07-01 23:57:10,200.0,-150.0,26.5,74.6
2026-07-02 00:27:11,200.0,-150.0,26.4,75.0
2026-07-02 00:57:11,200.0,-150.0,26.5,75.1
2026-07-02 01:27:13,25.5,24.5,26.5,75.1
2026-07-02 01:42:36,25.1,24.9,26.6,74.8
2026-07-02 01:43:37,25.2,24.8,26.6,74.9
2026-07-02 01:48:08,25.2,24.8,26.6,74.9
2026-07-02 01:51:24,25.2,24.8,26.6,74.7
2026-07-02 01:52:59,25.1,24.9,26.5,74.8
2026-07-02 09:32:24,25.2,24.8,25.8,75.2
2026-07-02 10:02:29,31.4,18.6,25.8,75.8
2026-07-02 10:32:34,26.9,23.1,25.7,75.3
2026-07-02 11:02:38,26.9,23.1,25.7,75.0
2026-07-02 11:32:42,26.9,23.1,25.7,75.2
2026-07-02 12:02:48,27.7,22.3,26.3,72.8
2026-07-02 12:32:52,27.3,22.7,26.2,70.4
